client_id,client_type,first_name,last_name,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,is_investor,engagement_score,sale_price,price_per_sqft,floor_area_sqft,properties_bought,cluster,segment,investment_profile,investment_score
C0001,Individual,Kareem,Liu,F,Usa,California,Home,4,Yes,Website,0,4,1246764.72,319.96317185861204,983.885,4,3,High-Value Clients,Moderate Investor,0.2968772619523983
C0002,Individual,Trystan,Oconnor,M,Usa,California,Home,1,No,Website,0,1,1841095.9300000002,313.1679087042186,1187.942,5,1,Premium Investors,High Potential Investor,0.4705172352834136
C0003,Individual,Kale,Gay,M,Usa,California,Home,4,Yes,Agency,0,4,1661457.5899999999,310.797967102675,1058.1100000000001,5,1,Premium Investors,High Potential Investor,0.4180323829451033
C0004,Individual,Russell,Gross,M,Usa,California,Home,5,No,Website,0,5,1608263.51,275.5640860802061,937.1033333333334,6,2,Mid-Segment Buyers,High Potential Investor,0.4024774354221818
C0005,Company,Marleez,Co,M,Usa,California,Investment,5,No,Website,1,5,3653385.38,299.39886333356816,927.2961538461539,13,2,Mid-Segment Buyers,High Potential Investor,1.0
C0006,Individual,Yurem,Wright,M,Usa,California,Home,3,Yes,Website,0,3,1514131.06,301.81143627425695,989.5899999999999,5,1,Premium Investors,High Potential Investor,0.37498531391274964
C0007,Individual,Xavier,Faulkner,M,Canada,Quebec,Investment,5,No,Website,1,5,3251147.83,296.0091174822707,995.6936363636363,11,2,Mid-Segment Buyers,High Potential Investor,0.8824787946027233
C0008,Individual,Kayden,Olsen,F,Usa,California,Home,5,No,Website,0,5,1476730.4100000001,289.273363570013,1031.106,5,1,Premium Investors,High Potential Investor,0.3640532909374496
C0009,Individual,Joaquin,Mullins,M,Usa,California,Investment,5,No,Agency,1,5,1820832.35,274.38568336203406,1305.644,5,0,Budget Buyers,High Potential Investor,0.4645819281180268
C0010,Individual,Nicolas,Navarro,M,Usa,Oregon,Investment,3,No,Agency,1,3,1732434.0,309.13580924027326,1140.206,5,0,Budget Buyers,High Potential Investor,0.43876861359024266
C0011,Individual,Laci,Guerra,F,Usa,California,Home,2,Yes,Website,0,2,1325211.52,282.7741404393233,935.914,5,3,High-Value Clients,Moderate Investor,0.319782332467848
C0012,Company,Kylax,Co,M,Usa,California,Investment,5,No,Website,1,5,1599526.4,299.78630561500273,1317.445,4,0,Budget Buyers,High Potential Investor,0.39993390652095423
C0013,Individual,Harley,Lucero,M,Usa,California,Home,1,Yes,Website,0,1,2142750.89,301.97365713513284,1407.376,5,1,Premium Investors,High Potential Investor,0.5586457171100524
C0014,Company,Esther,Co,M,Usa,California,Home,3,Yes,Website,0,3,1548140.0699999998,301.30993275732385,1280.5425,4,1,Premium Investors,High Potential Investor,0.3849211460215709
C0015,Individual,Jaylynn,Hickman,F,Usa,California,Home,5,No,Client,0,5,1585907.37,303.1325098373545,1030.764,5,1,Premium Investors,High Potential Investor,0.395956311604483
C0016,Individual,Olivia,Oconnell,F,Usa,California,Investment,5,No,Website,1,5,1010217.73,300.3778723095888,842.145,4,0,Budget Buyers,Low Potential,0.227759118722358
C0017,Individual,Antonio,Porter,M,Usa,Arizona,Home,3,No,Client,0,3,1778693.75,299.2817021286784,1195.8139999999999,5,1,Premium Investors,High Potential Investor,0.45228012994689115
C0018,Individual,Luke,Lynn,M,Usa,California,Home,2,Yes,Agency,0,2,1061478.67,291.28189258355934,913.8325,4,3,High-Value Clients,Low Potential,0.2427321001212423
C0019,Individual,Anahi,Curry,M,Usa,California,Home,5,Yes,Client,0,5,1773474.26,312.4888439477021,1402.0425,4,1,Premium Investors,High Potential Investor,0.4507601308444179
C0020,Individual,Camille,Sharp,F,Usa,California,Home,5,No,Website,0,5,1508032.25,286.06024372846275,1307.08,4,1,Premium Investors,High Potential Investor,0.3731971280109205
C0021,Individual,Jesus,Obrien,M,Usa,Oregon,Investment,3,No,Website,1,3,1928172.72,310.2368361355155,1028.86,6,2,Mid-Segment Buyers,High Potential Investor,0.4959571243747203
C0022,Individual,Araceli,Nelson,M,Germany,Berlin,Investment,5,No,Agency,1,5,1372403.2,275.0762597580429,1247.4850000000001,4,0,Budget Buyers,Moderate Investor,0.33356696556401366
C0023,Individual,Cole,Taylor,M,Usa,California,Home,3,Yes,Website,0,3,1457871.69,304.79852506678174,948.3880000000001,5,3,High-Value Clients,High Potential Investor,0.35854949205371067
C0024,Individual,Alonso,Terrell,M,Usa,California,Investment,4,No,Website,1,4,1884156.9000000001,294.8022223615109,1053.735,6,2,Mid-Segment Buyers,High Potential Investor,0.48309125582271795
C0025,Individual,Rodolfo,Gibson,M,Usa,Nevada,Home,2,Yes,Website,0,2,1694448.83,301.3231590304242,1120.576,5,1,Premium Investors,High Potential Investor,0.4276675580878433
C0026,Individual,Joseph,Reeves,M,Usa,California,Investment,5,No,Website,1,5,2932241.75,299.4336686170726,1002.383,10,2,Mid-Segment Buyers,High Potential Investor,0.7893069280444307
C0027,Individual,Grant,Weber,M,Usa,California,Home,5,Yes,Website,0,5,1517969.44,286.1007546565657,1070.234,5,1,Premium Investors,High Potential Investor,0.3761006317941896
C0028,Individual,Ava,Phelps,F,Usa,California,Home,3,No,Client,0,3,1791082.79,287.18845760262764,1266.366,5,1,Premium Investors,High Potential Investor,0.45589505552045806
C0029,Individual,Kyla,Walker,F,Usa,Colorado,Home,4,Yes,Agency,0,4,1247795.31,312.3370151079838,993.05,4,3,High-Value Clients,Moderate Investor,0.29717539288008815
C0030,Individual,Alanna,Hess,F,Usa,Nevada,Home,3,No,Website,0,3,1547311.29,301.15138496976226,1279.3725,4,1,Premium Investors,High Potential Investor,0.3846789442414546
C0031,Individual,Skylar,Buchanan,M,Usa,Nevada,Home,4,Yes,Website,0,4,1077148.21,316.7550430148504,677.3399999999999,5,3,High-Value Clients,Low Potential,0.2473202998936782
C0032,Individual,Rodrigo,Robinson,M,Usa,California,Home,4,No,Website,0,4,1888995.1600000001,297.27578497808724,1282.528,5,1,Premium Investors,High Potential Investor,0.4845054946058335
C0033,Individual,Lydia,Tate,F,Usa,California,Home,3,Yes,Website,0,3,1404998.67,282.3664604545738,1250.4325,4,1,Premium Investors,Moderate Investor,0.343092944262968
C0034,Individual,Lauryn,Patrick,F,Belgium,Brussels,Home,2,No,Agency,0,2,1632608.66,285.1147228727872,1160.556,5,1,Premium Investors,High Potential Investor,0.409593747439388
C0035,Individual,Diego,Mendez,M,Mexico,Mexico City,Home,3,No,Agency,0,3,1987876.4,278.7295525133892,1445.752,5,1,Premium Investors,High Potential Investor,0.5133878487443898
C0036,Individual,Victor,Jensen,M,Usa,California,Home,4,No,Website,0,4,1173683.53,301.30234093415066,963.325,4,3,High-Value Clients,Low Potential,0.27551827002238655
C0037,Individual,Scarlet,Hendricks,F,Usa,California,Home,5,Yes,Website,0,5,1607228.75,313.6317891215475,1018.368,5,1,Premium Investors,High Potential Investor,0.4021897499744118
C0038,Individual,Janelle,Espinoza,F,Usa,California,Investment,4,No,Client,1,4,1175129.27,272.8702422858949,1105.1225,4,0,Budget Buyers,Low Potential,0.27592968538429774
C0039,Individual,Aleksandra,Karenina,F,Russia,Krasnodar Krai,Home,1,No,Agency,0,1,1858527.54,338.65862610327133,1365.68,4,1,Premium Investors,High Potential Investor,0.47561986648360777
C0040,Individual,Conner,Huff,M,Usa,Nevada,Home,5,No,Website,0,5,1854608.29,291.4677238378165,1047.8,6,2,Mid-Segment Buyers,High Potential Investor,0.47445680734713946
C0041,Individual,Zain,Horne,M,Usa,Arizona,Home,1,Yes,Website,0,1,1374460.79,318.85709837389675,872.838,5,3,High-Value Clients,Moderate Investor,0.33418527245183405
C0042,Individual,Maia,Chandler,F,Usa,Utah,Home,1,Yes,Website,0,1,1101390.25,302.8701353206072,913.8425,4,3,High-Value Clients,Low Potential,0.2543973574629044
C0043,Individual,Jordyn,Park,M,Usa,Nevada,Investment,3,Yes,Website,1,3,1126492.46,281.3298261097273,983.505,4,0,Budget Buyers,Low Potential,0.26172303607357494
C0044,Individual,Diana,Hunt,F,Usa,Arizona,Home,3,No,Website,0,3,1330493.26,304.7615369287913,1106.8675,4,1,Premium Investors,Moderate Investor,0.32133383937402504
C0045,Individual,Kevin,Mata,M,Usa,Colorado,Investment,2,No,Agency,1,2,1463432.3599999999,314.6119778517108,913.774,5,0,Budget Buyers,High Potential Investor,0.3601780421516749
C0046,Individual,Brisa,Mckee,F,Usa,California,Home,5,No,Client,0,5,2026517.4,297.1196599473188,857.8050000000001,8,2,Mid-Segment Buyers,High Potential Investor,0.5246851218460201
C0047,Individual,Mason,Gilbert,M,Usa,Colorado,Home,2,No,Agency,0,2,1438239.28,298.32744523144754,953.568,5,3,High-Value Clients,High Potential Investor,0.3528110797979968
C0048,Individual,Derick,Li,M,Usa,California,Home,3,Yes,Agency,0,3,1338718.0,323.2713053028784,1026.3200000000002,4,3,High-Value Clients,Moderate Investor,0.32374402618806986
C0049,Individual,Jace,Riggs,F,Usa,California,Home,1,No,Website,0,1,1390091.2,290.3509384197303,1204.3675,4,1,Premium Investors,Moderate Investor,0.3387406225008436
C0050,Individual,Jair,Johns,M,Usa,California,Home,5,No,Website,0,5,2744452.35,304.22017127585246,993.5088888888889,9,2,Mid-Segment Buyers,High Potential Investor,0.7344431217395931
